evidence_status,n,both_correct,enc_only_correct,llm_only_correct,both_incorrect,enc_lower_err,llm_lower_err,disagree_ge1,disagree_ge2
against,188.0,0.3351063829787234,0.14893617021276595,0.22340425531914893,0.2925531914893617,0.17553191489361702,0.26595744680851063,0.4521276595744681,0.03723404255319149
ambiguous,116.0,0.3103448275862069,0.1810344827586207,0.19827586206896552,0.3103448275862069,0.25862068965517243,0.25,0.5172413793103449,0.034482758620689655
none,1098.0,0.2959927140255009,0.17577413479052822,0.21311475409836064,0.3151183970856102,0.23588342440801457,0.25318761384335153,0.5081967213114754,0.06739526411657559
supports,350.0,0.18857142857142858,0.21714285714285714,0.22,0.3742857142857143,0.29428571428571426,0.28,0.6171428571428571,0.20857142857142857
