config,prefix,joint,n,scope,item_name
L2_CORE_CLINICAL,budget,both_none,197,by_item,Appetite
L2_CORE_CLINICAL,budget,other,9,by_item,Appetite
L2_CORE_CLINICAL,budget,sem_inf_bm25_none,1,by_item,Appetite
L2_CORE_CLINICAL,budget,bm25_inf_sem_amb,1,by_item,Concentrating
L2_CORE_CLINICAL,budget,bm25_inf_sem_none,11,by_item,Concentrating
L2_CORE_CLINICAL,budget,both_ambiguous,4,by_item,Concentrating
L2_CORE_CLINICAL,budget,both_informative,16,by_item,Concentrating
L2_CORE_CLINICAL,budget,both_none,152,by_item,Concentrating
L2_CORE_CLINICAL,budget,other,21,by_item,Concentrating
L2_CORE_CLINICAL,budget,sem_inf_bm25_amb,3,by_item,Concentrating
L2_CORE_CLINICAL,budget,sem_inf_bm25_none,11,by_item,Concentrating
L2_CORE_CLINICAL,budget,bm25_inf_sem_amb,6,by_item,Depressed
L2_CORE_CLINICAL,budget,bm25_inf_sem_none,25,by_item,Depressed
L2_CORE_CLINICAL,budget,both_ambiguous,4,by_item,Depressed
L2_CORE_CLINICAL,budget,both_informative,68,by_item,Depressed
L2_CORE_CLINICAL,budget,both_none,65,by_item,Depressed
L2_CORE_CLINICAL,budget,other,25,by_item,Depressed
L2_CORE_CLINICAL,budget,sem_inf_bm25_amb,3,by_item,Depressed
L2_CORE_CLINICAL,budget,sem_inf_bm25_none,23,by_item,Depressed
L2_CORE_CLINICAL,budget,bm25_inf_sem_amb,5,by_item,Failure
L2_CORE_CLINICAL,budget,bm25_inf_sem_none,25,by_item,Failure
L2_CORE_CLINICAL,budget,both_informative,62,by_item,Failure
L2_CORE_CLINICAL,budget,both_none,80,by_item,Failure
L2_CORE_CLINICAL,budget,other,11,by_item,Failure
L2_CORE_CLINICAL,budget,sem_inf_bm25_amb,3,by_item,Failure
L2_CORE_CLINICAL,budget,sem_inf_bm25_none,33,by_item,Failure
L2_CORE_CLINICAL,budget,bm25_inf_sem_amb,1,by_item,Moving
L2_CORE_CLINICAL,budget,bm25_inf_sem_none,13,by_item,Moving
L2_CORE_CLINICAL,budget,both_informative,3,by_item,Moving
L2_CORE_CLINICAL,budget,both_none,180,by_item,Moving
L2_CORE_CLINICAL,budget,other,7,by_item,Moving
L2_CORE_CLINICAL,budget,sem_inf_bm25_none,15,by_item,Moving
L2_CORE_CLINICAL,budget,bm25_inf_sem_none,37,by_item,NoInterest
L2_CORE_CLINICAL,budget,both_ambiguous,2,by_item,NoInterest
L2_CORE_CLINICAL,budget,both_informative,19,by_item,NoInterest
L2_CORE_CLINICAL,budget,both_none,120,by_item,NoInterest
L2_CORE_CLINICAL,budget,other,13,by_item,NoInterest
L2_CORE_CLINICAL,budget,sem_inf_bm25_amb,2,by_item,NoInterest
L2_CORE_CLINICAL,budget,sem_inf_bm25_none,26,by_item,NoInterest
L2_CORE_CLINICAL,budget,bm25_inf_sem_amb,5,by_item,Sleep
L2_CORE_CLINICAL,budget,bm25_inf_sem_none,12,by_item,Sleep
L2_CORE_CLINICAL,budget,both_ambiguous,5,by_item,Sleep
L2_CORE_CLINICAL,budget,both_informative,102,by_item,Sleep
L2_CORE_CLINICAL,budget,both_none,78,by_item,Sleep
L2_CORE_CLINICAL,budget,other,6,by_item,Sleep
L2_CORE_CLINICAL,budget,sem_inf_bm25_amb,1,by_item,Sleep
L2_CORE_CLINICAL,budget,sem_inf_bm25_none,10,by_item,Sleep
L2_CORE_CLINICAL,budget,bm25_inf_sem_amb,9,by_item,Tired
L2_CORE_CLINICAL,budget,bm25_inf_sem_none,13,by_item,Tired
L2_CORE_CLINICAL,budget,both_ambiguous,1,by_item,Tired
L2_CORE_CLINICAL,budget,both_informative,63,by_item,Tired
L2_CORE_CLINICAL,budget,both_none,97,by_item,Tired
L2_CORE_CLINICAL,budget,other,12,by_item,Tired
L2_CORE_CLINICAL,budget,sem_inf_bm25_amb,7,by_item,Tired
L2_CORE_CLINICAL,budget,sem_inf_bm25_none,17,by_item,Tired
L2_CORE_CLINICAL,top3,bm25_inf_sem_amb,1,by_item,Appetite
L2_CORE_CLINICAL,top3,bm25_inf_sem_none,4,by_item,Appetite
L2_CORE_CLINICAL,top3,both_ambiguous,1,by_item,Appetite
L2_CORE_CLINICAL,top3,both_informative,8,by_item,Appetite
L2_CORE_CLINICAL,top3,both_none,194,by_item,Appetite
L2_CORE_CLINICAL,top3,other,7,by_item,Appetite
L2_CORE_CLINICAL,top3,sem_inf_bm25_none,4,by_item,Appetite
L2_CORE_CLINICAL,top3,bm25_inf_sem_amb,2,by_item,Concentrating
L2_CORE_CLINICAL,top3,bm25_inf_sem_none,13,by_item,Concentrating
L2_CORE_CLINICAL,top3,both_ambiguous,4,by_item,Concentrating
L2_CORE_CLINICAL,top3,both_informative,15,by_item,Concentrating
L2_CORE_CLINICAL,top3,both_none,148,by_item,Concentrating
L2_CORE_CLINICAL,top3,other,21,by_item,Concentrating
L2_CORE_CLINICAL,top3,sem_inf_bm25_amb,5,by_item,Concentrating
L2_CORE_CLINICAL,top3,sem_inf_bm25_none,11,by_item,Concentrating
L2_CORE_CLINICAL,top3,bm25_inf_sem_amb,5,by_item,Depressed
L2_CORE_CLINICAL,top3,bm25_inf_sem_none,34,by_item,Depressed
L2_CORE_CLINICAL,top3,both_ambiguous,4,by_item,Depressed
L2_CORE_CLINICAL,top3,both_informative,68,by_item,Depressed
L2_CORE_CLINICAL,top3,both_none,62,by_item,Depressed
L2_CORE_CLINICAL,top3,other,21,by_item,Depressed
L2_CORE_CLINICAL,top3,sem_inf_bm25_amb,5,by_item,Depressed
L2_CORE_CLINICAL,top3,sem_inf_bm25_none,20,by_item,Depressed
L2_CORE_CLINICAL,top3,bm25_inf_sem_amb,6,by_item,Failure
L2_CORE_CLINICAL,top3,bm25_inf_sem_none,24,by_item,Failure
L2_CORE_CLINICAL,top3,both_ambiguous,1,by_item,Failure
L2_CORE_CLINICAL,top3,both_informative,67,by_item,Failure
L2_CORE_CLINICAL,top3,both_none,70,by_item,Failure
L2_CORE_CLINICAL,top3,other,13,by_item,Failure
L2_CORE_CLINICAL,top3,sem_inf_bm25_amb,4,by_item,Failure
L2_CORE_CLINICAL,top3,sem_inf_bm25_none,34,by_item,Failure
L2_CORE_CLINICAL,top3,bm25_inf_sem_none,11,by_item,Moving
L2_CORE_CLINICAL,top3,both_informative,2,by_item,Moving
L2_CORE_CLINICAL,top3,both_none,181,by_item,Moving
L2_CORE_CLINICAL,top3,other,9,by_item,Moving
L2_CORE_CLINICAL,top3,sem_inf_bm25_none,16,by_item,Moving
L2_CORE_CLINICAL,top3,bm25_inf_sem_amb,1,by_item,NoInterest
L2_CORE_CLINICAL,top3,bm25_inf_sem_none,34,by_item,NoInterest
L2_CORE_CLINICAL,top3,both_ambiguous,1,by_item,NoInterest
L2_CORE_CLINICAL,top3,both_informative,18,by_item,NoInterest
L2_CORE_CLINICAL,top3,both_none,121,by_item,NoInterest
L2_CORE_CLINICAL,top3,other,12,by_item,NoInterest
L2_CORE_CLINICAL,top3,sem_inf_bm25_amb,2,by_item,NoInterest
L2_CORE_CLINICAL,top3,sem_inf_bm25_none,30,by_item,NoInterest
L2_CORE_CLINICAL,top3,bm25_inf_sem_amb,5,by_item,Sleep
L2_CORE_CLINICAL,top3,bm25_inf_sem_none,14,by_item,Sleep
L2_CORE_CLINICAL,top3,both_ambiguous,4,by_item,Sleep
L2_CORE_CLINICAL,top3,both_informative,103,by_item,Sleep
L2_CORE_CLINICAL,top3,both_none,74,by_item,Sleep
L2_CORE_CLINICAL,top3,other,6,by_item,Sleep
L2_CORE_CLINICAL,top3,sem_inf_bm25_amb,3,by_item,Sleep
L2_CORE_CLINICAL,top3,sem_inf_bm25_none,10,by_item,Sleep
L2_CORE_CLINICAL,top3,bm25_inf_sem_amb,9,by_item,Tired
L2_CORE_CLINICAL,top3,bm25_inf_sem_none,9,by_item,Tired
L2_CORE_CLINICAL,top3,both_ambiguous,4,by_item,Tired
L2_CORE_CLINICAL,top3,both_informative,69,by_item,Tired
L2_CORE_CLINICAL,top3,both_none,90,by_item,Tired
L2_CORE_CLINICAL,top3,other,17,by_item,Tired
L2_CORE_CLINICAL,top3,sem_inf_bm25_amb,8,by_item,Tired
L2_CORE_CLINICAL,top3,sem_inf_bm25_none,13,by_item,Tired
L2_CORE_CLINICAL,top5,bm25_inf_sem_amb,2,by_item,Appetite
L2_CORE_CLINICAL,top5,bm25_inf_sem_none,4,by_item,Appetite
L2_CORE_CLINICAL,top5,both_ambiguous,1,by_item,Appetite
L2_CORE_CLINICAL,top5,both_informative,6,by_item,Appetite
L2_CORE_CLINICAL,top5,both_none,192,by_item,Appetite
L2_CORE_CLINICAL,top5,other,9,by_item,Appetite
L2_CORE_CLINICAL,top5,sem_inf_bm25_none,5,by_item,Appetite
L2_CORE_CLINICAL,top5,bm25_inf_sem_amb,3,by_item,Concentrating
L2_CORE_CLINICAL,top5,bm25_inf_sem_none,13,by_item,Concentrating
L2_CORE_CLINICAL,top5,both_ambiguous,8,by_item,Concentrating
L2_CORE_CLINICAL,top5,both_informative,15,by_item,Concentrating
L2_CORE_CLINICAL,top5,both_none,149,by_item,Concentrating
L2_CORE_CLINICAL,top5,other,23,by_item,Concentrating
L2_CORE_CLINICAL,top5,sem_inf_bm25_amb,2,by_item,Concentrating
L2_CORE_CLINICAL,top5,sem_inf_bm25_none,6,by_item,Concentrating
L2_CORE_CLINICAL,top5,bm25_inf_sem_amb,7,by_item,Depressed
L2_CORE_CLINICAL,top5,bm25_inf_sem_none,24,by_item,Depressed
L2_CORE_CLINICAL,top5,both_ambiguous,4,by_item,Depressed
L2_CORE_CLINICAL,top5,both_informative,70,by_item,Depressed
L2_CORE_CLINICAL,top5,both_none,61,by_item,Depressed
L2_CORE_CLINICAL,top5,other,25,by_item,Depressed
L2_CORE_CLINICAL,top5,sem_inf_bm25_amb,4,by_item,Depressed
L2_CORE_CLINICAL,top5,sem_inf_bm25_none,24,by_item,Depressed
L2_CORE_CLINICAL,top5,bm25_inf_sem_amb,4,by_item,Failure
L2_CORE_CLINICAL,top5,bm25_inf_sem_none,19,by_item,Failure
L2_CORE_CLINICAL,top5,both_ambiguous,3,by_item,Failure
L2_CORE_CLINICAL,top5,both_informative,78,by_item,Failure
L2_CORE_CLINICAL,top5,both_none,67,by_item,Failure
L2_CORE_CLINICAL,top5,other,11,by_item,Failure
L2_CORE_CLINICAL,top5,sem_inf_bm25_amb,3,by_item,Failure
L2_CORE_CLINICAL,top5,sem_inf_bm25_none,34,by_item,Failure
L2_CORE_CLINICAL,top5,bm25_inf_sem_none,8,by_item,Moving
L2_CORE_CLINICAL,top5,both_informative,3,by_item,Moving
L2_CORE_CLINICAL,top5,both_none,187,by_item,Moving
L2_CORE_CLINICAL,top5,other,10,by_item,Moving
L2_CORE_CLINICAL,top5,sem_inf_bm25_amb,1,by_item,Moving
L2_CORE_CLINICAL,top5,sem_inf_bm25_none,10,by_item,Moving
L2_CORE_CLINICAL,top5,bm25_inf_sem_amb,1,by_item,NoInterest
L2_CORE_CLINICAL,top5,bm25_inf_sem_none,28,by_item,NoInterest
L2_CORE_CLINICAL,top5,both_ambiguous,1,by_item,NoInterest
L2_CORE_CLINICAL,top5,both_informative,24,by_item,NoInterest
L2_CORE_CLINICAL,top5,both_none,120,by_item,NoInterest
L2_CORE_CLINICAL,top5,other,13,by_item,NoInterest
L2_CORE_CLINICAL,top5,sem_inf_bm25_amb,2,by_item,NoInterest
L2_CORE_CLINICAL,top5,sem_inf_bm25_none,30,by_item,NoInterest
L2_CORE_CLINICAL,top5,bm25_inf_sem_amb,3,by_item,Sleep
L2_CORE_CLINICAL,top5,bm25_inf_sem_none,20,by_item,Sleep
L2_CORE_CLINICAL,top5,both_ambiguous,3,by_item,Sleep
L2_CORE_CLINICAL,top5,both_informative,95,by_item,Sleep
L2_CORE_CLINICAL,top5,both_none,77,by_item,Sleep
L2_CORE_CLINICAL,top5,other,8,by_item,Sleep
L2_CORE_CLINICAL,top5,sem_inf_bm25_amb,2,by_item,Sleep
L2_CORE_CLINICAL,top5,sem_inf_bm25_none,11,by_item,Sleep
L2_CORE_CLINICAL,top5,bm25_inf_sem_amb,9,by_item,Tired
L2_CORE_CLINICAL,top5,bm25_inf_sem_none,11,by_item,Tired
L2_CORE_CLINICAL,top5,both_ambiguous,2,by_item,Tired
L2_CORE_CLINICAL,top5,both_informative,64,by_item,Tired
L2_CORE_CLINICAL,top5,both_none,101,by_item,Tired
L2_CORE_CLINICAL,top5,other,11,by_item,Tired
L2_CORE_CLINICAL,top5,sem_inf_bm25_amb,4,by_item,Tired
L2_CORE_CLINICAL,top5,sem_inf_bm25_none,17,by_item,Tired
L3_FULL,budget,bm25_inf_sem_none,2,by_item,Appetite
L3_FULL,budget,both_informative,8,by_item,Appetite
L3_FULL,budget,both_none,204,by_item,Appetite
L3_FULL,budget,other,1,by_item,Appetite
L3_FULL,budget,sem_inf_bm25_amb,1,by_item,Appetite
L3_FULL,budget,sem_inf_bm25_none,3,by_item,Appetite
L3_FULL,budget,bm25_inf_sem_amb,2,by_item,Concentrating
L3_FULL,budget,bm25_inf_sem_none,13,by_item,Concentrating
L3_FULL,budget,both_ambiguous,7,by_item,Concentrating
L3_FULL,budget,both_informative,7,by_item,Concentrating
L3_FULL,budget,both_none,149,by_item,Concentrating
L3_FULL,budget,other,28,by_item,Concentrating
L3_FULL,budget,sem_inf_bm25_amb,3,by_item,Concentrating
L3_FULL,budget,sem_inf_bm25_none,10,by_item,Concentrating
L3_FULL,budget,bm25_inf_sem_amb,5,by_item,Depressed
L3_FULL,budget,bm25_inf_sem_none,28,by_item,Depressed
L3_FULL,budget,both_ambiguous,9,by_item,Depressed
L3_FULL,budget,both_informative,55,by_item,Depressed
L3_FULL,budget,both_none,76,by_item,Depressed
L3_FULL,budget,other,13,by_item,Depressed
L3_FULL,budget,sem_inf_bm25_amb,6,by_item,Depressed
L3_FULL,budget,sem_inf_bm25_none,27,by_item,Depressed
L3_FULL,budget,bm25_inf_sem_amb,3,by_item,Failure
L3_FULL,budget,bm25_inf_sem_none,32,by_item,Failure
L3_FULL,budget,both_ambiguous,1,by_item,Failure
L3_FULL,budget,both_informative,73,by_item,Failure
L3_FULL,budget,both_none,76,by_item,Failure
L3_FULL,budget,other,10,by_item,Failure
L3_FULL,budget,sem_inf_bm25_amb,5,by_item,Failure
L3_FULL,budget,sem_inf_bm25_none,19,by_item,Failure
L3_FULL,budget,bm25_inf_sem_none,14,by_item,Moving
L3_FULL,budget,both_informative,4,by_item,Moving
L3_FULL,budget,both_none,178,by_item,Moving
L3_FULL,budget,other,7,by_item,Moving
L3_FULL,budget,sem_inf_bm25_none,16,by_item,Moving
L3_FULL,budget,bm25_inf_sem_amb,4,by_item,NoInterest
L3_FULL,budget,bm25_inf_sem_none,36,by_item,NoInterest
L3_FULL,budget,both_ambiguous,4,by_item,NoInterest
L3_FULL,budget,both_informative,25,by_item,NoInterest
L3_FULL,budget,both_none,115,by_item,NoInterest
L3_FULL,budget,other,13,by_item,NoInterest
L3_FULL,budget,sem_inf_bm25_none,22,by_item,NoInterest
L3_FULL,budget,bm25_inf_sem_amb,3,by_item,Sleep
L3_FULL,budget,bm25_inf_sem_none,17,by_item,Sleep
L3_FULL,budget,both_ambiguous,4,by_item,Sleep
L3_FULL,budget,both_informative,103,by_item,Sleep
L3_FULL,budget,both_none,69,by_item,Sleep
L3_FULL,budget,other,11,by_item,Sleep
L3_FULL,budget,sem_inf_bm25_amb,2,by_item,Sleep
L3_FULL,budget,sem_inf_bm25_none,10,by_item,Sleep
L3_FULL,budget,bm25_inf_sem_amb,5,by_item,Tired
L3_FULL,budget,bm25_inf_sem_none,13,by_item,Tired
L3_FULL,budget,both_ambiguous,4,by_item,Tired
L3_FULL,budget,both_informative,58,by_item,Tired
L3_FULL,budget,both_none,99,by_item,Tired
L3_FULL,budget,other,14,by_item,Tired
L3_FULL,budget,sem_inf_bm25_amb,3,by_item,Tired
L3_FULL,budget,sem_inf_bm25_none,23,by_item,Tired
L3_FULL,top3,bm25_inf_sem_amb,1,by_item,Appetite
L3_FULL,top3,bm25_inf_sem_none,2,by_item,Appetite
L3_FULL,top3,both_informative,11,by_item,Appetite
L3_FULL,top3,both_none,199,by_item,Appetite
L3_FULL,top3,other,2,by_item,Appetite
L3_FULL,top3,sem_inf_bm25_amb,1,by_item,Appetite
L3_FULL,top3,sem_inf_bm25_none,3,by_item,Appetite
L3_FULL,top3,bm25_inf_sem_amb,3,by_item,Concentrating
L3_FULL,top3,bm25_inf_sem_none,11,by_item,Concentrating
L3_FULL,top3,both_ambiguous,4,by_item,Concentrating
L3_FULL,top3,both_informative,10,by_item,Concentrating
L3_FULL,top3,both_none,146,by_item,Concentrating
L3_FULL,top3,other,31,by_item,Concentrating
L3_FULL,top3,sem_inf_bm25_amb,1,by_item,Concentrating
L3_FULL,top3,sem_inf_bm25_none,13,by_item,Concentrating
L3_FULL,top3,bm25_inf_sem_amb,3,by_item,Depressed
L3_FULL,top3,bm25_inf_sem_none,27,by_item,Depressed
L3_FULL,top3,both_ambiguous,6,by_item,Depressed
L3_FULL,top3,both_informative,60,by_item,Depressed
L3_FULL,top3,both_none,67,by_item,Depressed
L3_FULL,top3,other,22,by_item,Depressed
L3_FULL,top3,sem_inf_bm25_amb,3,by_item,Depressed
L3_FULL,top3,sem_inf_bm25_none,31,by_item,Depressed
L3_FULL,top3,bm25_inf_sem_amb,2,by_item,Failure
L3_FULL,top3,bm25_inf_sem_none,32,by_item,Failure
L3_FULL,top3,both_ambiguous,3,by_item,Failure
L3_FULL,top3,both_informative,77,by_item,Failure
L3_FULL,top3,both_none,66,by_item,Failure
L3_FULL,top3,other,12,by_item,Failure
L3_FULL,top3,sem_inf_bm25_amb,2,by_item,Failure
L3_FULL,top3,sem_inf_bm25_none,25,by_item,Failure
L3_FULL,top3,bm25_inf_sem_none,8,by_item,Moving
L3_FULL,top3,both_informative,4,by_item,Moving
L3_FULL,top3,both_none,183,by_item,Moving
L3_FULL,top3,other,12,by_item,Moving
L3_FULL,top3,sem_inf_bm25_none,12,by_item,Moving
L3_FULL,top3,bm25_inf_sem_amb,3,by_item,NoInterest
L3_FULL,top3,bm25_inf_sem_none,32,by_item,NoInterest
L3_FULL,top3,both_ambiguous,2,by_item,NoInterest
L3_FULL,top3,both_informative,31,by_item,NoInterest
L3_FULL,top3,both_none,110,by_item,NoInterest
L3_FULL,top3,other,17,by_item,NoInterest
L3_FULL,top3,sem_inf_bm25_amb,3,by_item,NoInterest
L3_FULL,top3,sem_inf_bm25_none,21,by_item,NoInterest
L3_FULL,top3,bm25_inf_sem_amb,5,by_item,Sleep
L3_FULL,top3,bm25_inf_sem_none,14,by_item,Sleep
L3_FULL,top3,both_ambiguous,2,by_item,Sleep
L3_FULL,top3,both_informative,105,by_item,Sleep
L3_FULL,top3,both_none,69,by_item,Sleep
L3_FULL,top3,other,9,by_item,Sleep
L3_FULL,top3,sem_inf_bm25_amb,4,by_item,Sleep
L3_FULL,top3,sem_inf_bm25_none,11,by_item,Sleep
L3_FULL,top3,bm25_inf_sem_amb,6,by_item,Tired
L3_FULL,top3,bm25_inf_sem_none,6,by_item,Tired
L3_FULL,top3,both_ambiguous,4,by_item,Tired
L3_FULL,top3,both_informative,57,by_item,Tired
L3_FULL,top3,both_none,94,by_item,Tired
L3_FULL,top3,other,16,by_item,Tired
L3_FULL,top3,sem_inf_bm25_amb,6,by_item,Tired
L3_FULL,top3,sem_inf_bm25_none,30,by_item,Tired
L3_FULL,top5,bm25_inf_sem_none,2,by_item,Appetite
L3_FULL,top5,both_ambiguous,2,by_item,Appetite
L3_FULL,top5,both_informative,9,by_item,Appetite
L3_FULL,top5,both_none,201,by_item,Appetite
L3_FULL,top5,other,2,by_item,Appetite
L3_FULL,top5,sem_inf_bm25_amb,1,by_item,Appetite
L3_FULL,top5,sem_inf_bm25_none,2,by_item,Appetite
L3_FULL,top5,bm25_inf_sem_amb,2,by_item,Concentrating
L3_FULL,top5,bm25_inf_sem_none,9,by_item,Concentrating
L3_FULL,top5,both_ambiguous,5,by_item,Concentrating
L3_FULL,top5,both_informative,13,by_item,Concentrating
L3_FULL,top5,both_none,150,by_item,Concentrating
L3_FULL,top5,other,28,by_item,Concentrating
L3_FULL,top5,sem_inf_bm25_amb,4,by_item,Concentrating
L3_FULL,top5,sem_inf_bm25_none,8,by_item,Concentrating
L3_FULL,top5,bm25_inf_sem_amb,6,by_item,Depressed
L3_FULL,top5,bm25_inf_sem_none,26,by_item,Depressed
L3_FULL,top5,both_ambiguous,3,by_item,Depressed
L3_FULL,top5,both_informative,65,by_item,Depressed
L3_FULL,top5,both_none,66,by_item,Depressed
L3_FULL,top5,other,20,by_item,Depressed
L3_FULL,top5,sem_inf_bm25_amb,11,by_item,Depressed
L3_FULL,top5,sem_inf_bm25_none,22,by_item,Depressed
L3_FULL,top5,bm25_inf_sem_amb,5,by_item,Failure
L3_FULL,top5,bm25_inf_sem_none,27,by_item,Failure
L3_FULL,top5,both_ambiguous,2,by_item,Failure
L3_FULL,top5,both_informative,78,by_item,Failure
L3_FULL,top5,both_none,65,by_item,Failure
L3_FULL,top5,other,11,by_item,Failure
L3_FULL,top5,sem_inf_bm25_amb,1,by_item,Failure
L3_FULL,top5,sem_inf_bm25_none,30,by_item,Failure
L3_FULL,top5,bm25_inf_sem_none,14,by_item,Moving
L3_FULL,top5,both_informative,4,by_item,Moving
L3_FULL,top5,both_none,183,by_item,Moving
L3_FULL,top5,other,6,by_item,Moving
L3_FULL,top5,sem_inf_bm25_none,12,by_item,Moving
L3_FULL,top5,bm25_inf_sem_amb,1,by_item,NoInterest
L3_FULL,top5,bm25_inf_sem_none,26,by_item,NoInterest
L3_FULL,top5,both_ambiguous,1,by_item,NoInterest
L3_FULL,top5,both_informative,31,by_item,NoInterest
L3_FULL,top5,both_none,116,by_item,NoInterest
L3_FULL,top5,other,19,by_item,NoInterest
L3_FULL,top5,sem_inf_bm25_amb,2,by_item,NoInterest
L3_FULL,top5,sem_inf_bm25_none,23,by_item,NoInterest
L3_FULL,top5,bm25_inf_sem_amb,2,by_item,Sleep
L3_FULL,top5,bm25_inf_sem_none,13,by_item,Sleep
L3_FULL,top5,both_ambiguous,3,by_item,Sleep
L3_FULL,top5,both_informative,96,by_item,Sleep
L3_FULL,top5,both_none,79,by_item,Sleep
L3_FULL,top5,other,12,by_item,Sleep
L3_FULL,top5,sem_inf_bm25_amb,4,by_item,Sleep
L3_FULL,top5,sem_inf_bm25_none,10,by_item,Sleep
L3_FULL,top5,bm25_inf_sem_amb,9,by_item,Tired
L3_FULL,top5,bm25_inf_sem_none,9,by_item,Tired
L3_FULL,top5,both_ambiguous,5,by_item,Tired
L3_FULL,top5,both_informative,60,by_item,Tired
L3_FULL,top5,both_none,93,by_item,Tired
L3_FULL,top5,other,13,by_item,Tired
L3_FULL,top5,sem_inf_bm25_amb,7,by_item,Tired
L3_FULL,top5,sem_inf_bm25_none,23,by_item,Tired
