config,prefix,joint,n,scope,item_name
L0_CORE,budget,both_none,69,by_item,Depressed
L0_CORE,budget,other,20,by_item,Depressed
L0_CORE,budget,sem_inf_bm25_amb,8,by_item,Depressed
L0_CORE,budget,sem_inf_bm25_none,16,by_item,Depressed
L0_CORE,budget,bm25_inf_sem_amb,5,by_item,Failure
L0_CORE,budget,bm25_inf_sem_none,22,by_item,Failure
L0_CORE,budget,both_ambiguous,2,by_item,Failure
L0_CORE,budget,both_informative,56,by_item,Failure
L0_CORE,budget,both_none,87,by_item,Failure
L0_CORE,budget,other,8,by_item,Failure
L0_CORE,budget,sem_inf_bm25_amb,6,by_item,Failure
L0_CORE,budget,sem_inf_bm25_none,33,by_item,Failure
L0_CORE,budget,bm25_inf_sem_none,12,by_item,Moving
L0_CORE,budget,both_informative,5,by_item,Moving
L0_CORE,budget,both_none,179,by_item,Moving
L0_CORE,budget,other,7,by_item,Moving
L0_CORE,budget,sem_inf_bm25_none,16,by_item,Moving
L0_CORE,budget,bm25_inf_sem_amb,2,by_item,NoInterest
L0_CORE,budget,bm25_inf_sem_none,31,by_item,NoInterest
L0_CORE,budget,both_informative,23,by_item,NoInterest
L0_CORE,budget,both_none,124,by_item,NoInterest
L0_CORE,budget,other,8,by_item,NoInterest
L0_CORE,budget,sem_inf_bm25_amb,2,by_item,NoInterest
L0_CORE,budget,sem_inf_bm25_none,29,by_item,NoInterest
L0_CORE,budget,bm25_inf_sem_amb,3,by_item,Sleep
L0_CORE,budget,bm25_inf_sem_none,12,by_item,Sleep
L0_CORE,budget,both_ambiguous,4,by_item,Sleep
L0_CORE,budget,both_informative,81,by_item,Sleep
L0_CORE,budget,both_none,80,by_item,Sleep
L0_CORE,budget,other,5,by_item,Sleep
L0_CORE,budget,sem_inf_bm25_amb,1,by_item,Sleep
L0_CORE,budget,sem_inf_bm25_none,33,by_item,Sleep
L0_CORE,budget,bm25_inf_sem_amb,11,by_item,Tired
L0_CORE,budget,bm25_inf_sem_none,15,by_item,Tired
L0_CORE,budget,both_ambiguous,1,by_item,Tired
L0_CORE,budget,both_informative,63,by_item,Tired
L0_CORE,budget,both_none,91,by_item,Tired
L0_CORE,budget,other,17,by_item,Tired
L0_CORE,budget,sem_inf_bm25_amb,5,by_item,Tired
L0_CORE,budget,sem_inf_bm25_none,16,by_item,Tired
L0_CORE,top3,bm25_inf_sem_amb,2,by_item,Appetite
L0_CORE,top3,bm25_inf_sem_none,2,by_item,Appetite
L0_CORE,top3,both_informative,7,by_item,Appetite
L0_CORE,top3,both_none,189,by_item,Appetite
L0_CORE,top3,other,12,by_item,Appetite
L0_CORE,top3,sem_inf_bm25_amb,2,by_item,Appetite
L0_CORE,top3,sem_inf_bm25_none,5,by_item,Appetite
L0_CORE,top3,bm25_inf_sem_amb,1,by_item,Concentrating
L0_CORE,top3,bm25_inf_sem_none,12,by_item,Concentrating
L0_CORE,top3,both_ambiguous,5,by_item,Concentrating
L0_CORE,top3,both_informative,17,by_item,Concentrating
L0_CORE,top3,both_none,146,by_item,Concentrating
L0_CORE,top3,other,24,by_item,Concentrating
L0_CORE,top3,sem_inf_bm25_amb,3,by_item,Concentrating
L0_CORE,top3,sem_inf_bm25_none,11,by_item,Concentrating
L0_CORE,top3,bm25_inf_sem_amb,4,by_item,Depressed
L0_CORE,top3,bm25_inf_sem_none,31,by_item,Depressed
L0_CORE,top3,both_ambiguous,7,by_item,Depressed
L0_CORE,top3,both_informative,73,by_item,Depressed
L0_CORE,top3,both_none,56,by_item,Depressed
L0_CORE,top3,other,20,by_item,Depressed
L0_CORE,top3,sem_inf_bm25_amb,7,by_item,Depressed
L0_CORE,top3,sem_inf_bm25_none,21,by_item,Depressed
L0_CORE,top3,bm25_inf_sem_amb,6,by_item,Failure
L0_CORE,top3,bm25_inf_sem_none,23,by_item,Failure
L0_CORE,top3,both_ambiguous,1,by_item,Failure
L0_CORE,top3,both_informative,59,by_item,Failure
L0_CORE,top3,both_none,77,by_item,Failure
L0_CORE,top3,other,9,by_item,Failure
L0_CORE,top3,sem_inf_bm25_amb,5,by_item,Failure
L0_CORE,top3,sem_inf_bm25_none,39,by_item,Failure
L0_CORE,top3,bm25_inf_sem_amb,1,by_item,Moving
L0_CORE,top3,bm25_inf_sem_none,9,by_item,Moving
L0_CORE,top3,both_informative,2,by_item,Moving
L0_CORE,top3,both_none,176,by_item,Moving
L0_CORE,top3,other,7,by_item,Moving
L0_CORE,top3,sem_inf_bm25_none,24,by_item,Moving
L0_CORE,top3,bm25_inf_sem_amb,3,by_item,NoInterest
L0_CORE,top3,bm25_inf_sem_none,29,by_item,NoInterest
L0_CORE,top3,both_informative,22,by_item,NoInterest
L0_CORE,top3,both_none,121,by_item,NoInterest
L0_CORE,top3,other,8,by_item,NoInterest
L0_CORE,top3,sem_inf_bm25_amb,2,by_item,NoInterest
L0_CORE,top3,sem_inf_bm25_none,34,by_item,NoInterest
L0_CORE,top3,bm25_inf_sem_amb,6,by_item,Sleep
L0_CORE,top3,bm25_inf_sem_none,9,by_item,Sleep
L0_CORE,top3,both_ambiguous,4,by_item,Sleep
L0_CORE,top3,both_informative,85,by_item,Sleep
L0_CORE,top3,both_none,75,by_item,Sleep
L0_CORE,top3,other,5,by_item,Sleep
L0_CORE,top3,sem_inf_bm25_amb,3,by_item,Sleep
L0_CORE,top3,sem_inf_bm25_none,32,by_item,Sleep
L0_CORE,top3,bm25_inf_sem_amb,8,by_item,Tired
L0_CORE,top3,bm25_inf_sem_none,12,by_item,Tired
L0_CORE,top3,both_ambiguous,3,by_item,Tired
L0_CORE,top3,both_informative,73,by_item,Tired
L0_CORE,top3,both_none,89,by_item,Tired
L0_CORE,top3,other,15,by_item,Tired
L0_CORE,top3,sem_inf_bm25_amb,5,by_item,Tired
L0_CORE,top3,sem_inf_bm25_none,14,by_item,Tired
L0_CORE,top5,bm25_inf_sem_amb,1,by_item,Appetite
L0_CORE,top5,bm25_inf_sem_none,3,by_item,Appetite
L0_CORE,top5,both_informative,5,by_item,Appetite
L0_CORE,top5,both_none,192,by_item,Appetite
L0_CORE,top5,other,10,by_item,Appetite
L0_CORE,top5,sem_inf_bm25_amb,3,by_item,Appetite
L0_CORE,top5,sem_inf_bm25_none,5,by_item,Appetite
L0_CORE,top5,bm25_inf_sem_amb,6,by_item,Concentrating
L0_CORE,top5,bm25_inf_sem_none,8,by_item,Concentrating
L0_CORE,top5,both_ambiguous,6,by_item,Concentrating
L0_CORE,top5,both_informative,16,by_item,Concentrating
L0_CORE,top5,both_none,150,by_item,Concentrating
L0_CORE,top5,other,23,by_item,Concentrating
L0_CORE,top5,sem_inf_bm25_amb,4,by_item,Concentrating
L0_CORE,top5,sem_inf_bm25_none,6,by_item,Concentrating
L0_CORE,top5,bm25_inf_sem_amb,10,by_item,Depressed
L0_CORE,top5,bm25_inf_sem_none,23,by_item,Depressed
L0_CORE,top5,both_ambiguous,9,by_item,Depressed
L0_CORE,top5,both_informative,69,by_item,Depressed
L0_CORE,top5,both_none,59,by_item,Depressed
L0_CORE,top5,other,22,by_item,Depressed
L0_CORE,top5,sem_inf_bm25_amb,8,by_item,Depressed
L0_CORE,top5,sem_inf_bm25_none,19,by_item,Depressed
L0_CORE,top5,bm25_inf_sem_amb,6,by_item,Failure
L0_CORE,top5,bm25_inf_sem_none,20,by_item,Failure
L0_CORE,top5,both_ambiguous,1,by_item,Failure
L0_CORE,top5,both_informative,76,by_item,Failure
L0_CORE,top5,both_none,61,by_item,Failure
L0_CORE,top5,other,11,by_item,Failure
L0_CORE,top5,sem_inf_bm25_amb,9,by_item,Failure
L0_CORE,top5,sem_inf_bm25_none,35,by_item,Failure
L0_CORE,top5,bm25_inf_sem_amb,1,by_item,Moving
L0_CORE,top5,bm25_inf_sem_none,5,by_item,Moving
L0_CORE,top5,both_ambiguous,1,by_item,Moving
L0_CORE,top5,both_informative,4,by_item,Moving
L0_CORE,top5,both_none,183,by_item,Moving
L0_CORE,top5,other,7,by_item,Moving
L0_CORE,top5,sem_inf_bm25_none,18,by_item,Moving
L0_CORE,top5,bm25_inf_sem_amb,4,by_item,NoInterest
L0_CORE,top5,bm25_inf_sem_none,24,by_item,NoInterest
L0_CORE,top5,both_ambiguous,1,by_item,NoInterest
L0_CORE,top5,both_informative,26,by_item,NoInterest
L0_CORE,top5,both_none,123,by_item,NoInterest
L0_CORE,top5,other,4,by_item,NoInterest
L0_CORE,top5,sem_inf_bm25_amb,2,by_item,NoInterest
L0_CORE,top5,sem_inf_bm25_none,35,by_item,NoInterest
L0_CORE,top5,bm25_inf_sem_amb,4,by_item,Sleep
L0_CORE,top5,bm25_inf_sem_none,14,by_item,Sleep
L0_CORE,top5,both_ambiguous,2,by_item,Sleep
L0_CORE,top5,both_informative,87,by_item,Sleep
L0_CORE,top5,both_none,79,by_item,Sleep
L0_CORE,top5,other,9,by_item,Sleep
L0_CORE,top5,sem_inf_bm25_amb,3,by_item,Sleep
L0_CORE,top5,sem_inf_bm25_none,21,by_item,Sleep
L0_CORE,top5,bm25_inf_sem_amb,11,by_item,Tired
L0_CORE,top5,bm25_inf_sem_none,10,by_item,Tired
L0_CORE,top5,both_ambiguous,2,by_item,Tired
L0_CORE,top5,both_informative,62,by_item,Tired
L0_CORE,top5,both_none,95,by_item,Tired
L0_CORE,top5,other,15,by_item,Tired
L0_CORE,top5,sem_inf_bm25_amb,6,by_item,Tired
L0_CORE,top5,sem_inf_bm25_none,18,by_item,Tired
L1_CORE_LAY,budget,both_informative,8,by_item,Appetite
L1_CORE_LAY,budget,both_none,203,by_item,Appetite
L1_CORE_LAY,budget,other,1,by_item,Appetite
L1_CORE_LAY,budget,sem_inf_bm25_amb,2,by_item,Appetite
L1_CORE_LAY,budget,sem_inf_bm25_none,5,by_item,Appetite
L1_CORE_LAY,budget,bm25_inf_sem_amb,3,by_item,Concentrating
L1_CORE_LAY,budget,bm25_inf_sem_none,11,by_item,Concentrating
L1_CORE_LAY,budget,both_ambiguous,3,by_item,Concentrating
L1_CORE_LAY,budget,both_informative,7,by_item,Concentrating
L1_CORE_LAY,budget,both_none,145,by_item,Concentrating
L1_CORE_LAY,budget,other,35,by_item,Concentrating
L1_CORE_LAY,budget,sem_inf_bm25_amb,2,by_item,Concentrating
L1_CORE_LAY,budget,sem_inf_bm25_none,13,by_item,Concentrating
L1_CORE_LAY,budget,bm25_inf_sem_amb,4,by_item,Depressed
L1_CORE_LAY,budget,bm25_inf_sem_none,23,by_item,Depressed
L1_CORE_LAY,budget,both_ambiguous,4,by_item,Depressed
L1_CORE_LAY,budget,both_informative,57,by_item,Depressed
L1_CORE_LAY,budget,both_none,77,by_item,Depressed
L1_CORE_LAY,budget,other,18,by_item,Depressed
L1_CORE_LAY,budget,sem_inf_bm25_amb,12,by_item,Depressed
L1_CORE_LAY,budget,sem_inf_bm25_none,24,by_item,Depressed
L1_CORE_LAY,budget,bm25_inf_sem_amb,1,by_item,Failure
L1_CORE_LAY,budget,bm25_inf_sem_none,36,by_item,Failure
L1_CORE_LAY,budget,both_ambiguous,1,by_item,Failure
L1_CORE_LAY,budget,both_informative,68,by_item,Failure
L1_CORE_LAY,budget,both_none,75,by_item,Failure
L1_CORE_LAY,budget,other,11,by_item,Failure
L1_CORE_LAY,budget,sem_inf_bm25_amb,3,by_item,Failure
L1_CORE_LAY,budget,sem_inf_bm25_none,24,by_item,Failure
L1_CORE_LAY,budget,bm25_inf_sem_none,14,by_item,Moving
L1_CORE_LAY,budget,both_ambiguous,1,by_item,Moving
L1_CORE_LAY,budget,both_informative,3,by_item,Moving
L1_CORE_LAY,budget,both_none,177,by_item,Moving
L1_CORE_LAY,budget,other,7,by_item,Moving
L1_CORE_LAY,budget,sem_inf_bm25_none,17,by_item,Moving
L1_CORE_LAY,budget,bm25_inf_sem_amb,3,by_item,NoInterest
L1_CORE_LAY,budget,bm25_inf_sem_none,36,by_item,NoInterest
L1_CORE_LAY,budget,both_ambiguous,1,by_item,NoInterest
L1_CORE_LAY,budget,both_informative,27,by_item,NoInterest
L1_CORE_LAY,budget,both_none,120,by_item,NoInterest
L1_CORE_LAY,budget,other,13,by_item,NoInterest
L1_CORE_LAY,budget,sem_inf_bm25_amb,1,by_item,NoInterest
L1_CORE_LAY,budget,sem_inf_bm25_none,18,by_item,NoInterest
L1_CORE_LAY,budget,bm25_inf_sem_amb,3,by_item,Sleep
L1_CORE_LAY,budget,bm25_inf_sem_none,12,by_item,Sleep
L1_CORE_LAY,budget,both_ambiguous,4,by_item,Sleep
L1_CORE_LAY,budget,both_informative,99,by_item,Sleep
L1_CORE_LAY,budget,both_none,72,by_item,Sleep
L1_CORE_LAY,budget,other,8,by_item,Sleep
L1_CORE_LAY,budget,sem_inf_bm25_amb,3,by_item,Sleep
L1_CORE_LAY,budget,sem_inf_bm25_none,18,by_item,Sleep
L1_CORE_LAY,budget,bm25_inf_sem_amb,7,by_item,Tired
L1_CORE_LAY,budget,bm25_inf_sem_none,9,by_item,Tired
L1_CORE_LAY,budget,both_ambiguous,2,by_item,Tired
L1_CORE_LAY,budget,both_informative,53,by_item,Tired
L1_CORE_LAY,budget,both_none,96,by_item,Tired
L1_CORE_LAY,budget,other,15,by_item,Tired
L1_CORE_LAY,budget,sem_inf_bm25_amb,5,by_item,Tired
L1_CORE_LAY,budget,sem_inf_bm25_none,32,by_item,Tired
L1_CORE_LAY,top3,bm25_inf_sem_amb,2,by_item,Appetite
L1_CORE_LAY,top3,bm25_inf_sem_none,1,by_item,Appetite
L1_CORE_LAY,top3,both_informative,9,by_item,Appetite
L1_CORE_LAY,top3,both_none,199,by_item,Appetite
L1_CORE_LAY,top3,other,1,by_item,Appetite
L1_CORE_LAY,top3,sem_inf_bm25_amb,3,by_item,Appetite
L1_CORE_LAY,top3,sem_inf_bm25_none,4,by_item,Appetite
L1_CORE_LAY,top3,bm25_inf_sem_none,12,by_item,Concentrating
L1_CORE_LAY,top3,both_ambiguous,3,by_item,Concentrating
L1_CORE_LAY,top3,both_informative,7,by_item,Concentrating
L1_CORE_LAY,top3,both_none,149,by_item,Concentrating
L1_CORE_LAY,top3,other,33,by_item,Concentrating
L1_CORE_LAY,top3,sem_inf_bm25_amb,1,by_item,Concentrating
L1_CORE_LAY,top3,sem_inf_bm25_none,14,by_item,Concentrating
L1_CORE_LAY,top3,bm25_inf_sem_amb,4,by_item,Depressed
L1_CORE_LAY,top3,bm25_inf_sem_none,23,by_item,Depressed
L1_CORE_LAY,top3,both_ambiguous,5,by_item,Depressed
L1_CORE_LAY,top3,both_informative,55,by_item,Depressed
