config,retriever,prefix,n,informative_rate,supports_rate,against_rate,none_rate,ambiguous_rate,judge_agreement
L0_CORE,hybrid_a25,top3,1752,0.3270547945205479,0.20947488584474885,0.11757990867579908,0.6084474885844748,0.06449771689497717,0.9786910197869102
L0_CORE,hybrid_a25,top5,1752,0.3156392694063927,0.2117579908675799,0.10388127853881278,0.6158675799086758,0.0684931506849315,0.9718417047184171
L0_CORE,hybrid_a50,top3,1752,0.3133561643835616,0.20947488584474885,0.10388127853881278,0.6335616438356164,0.053082191780821915,0.9765981735159818
L0_CORE,semantic,top3,1752,0.3116438356164384,0.2014840182648402,0.11015981735159817,0.6329908675799086,0.055365296803652965,0.9800228310502284
L0_CORE,semantic,top5,1752,0.3070776255707763,0.1997716894977169,0.10730593607305935,0.6267123287671232,0.06621004566210045,0.9748858447488584
L1_CORE_LAY,semantic,top3,1752,0.3059360730593607,0.1969178082191781,0.10901826484018265,0.632420091324201,0.06164383561643835,0.9817351598173516
L0_CORE,hybrid_a50,budget,1752,0.3047945205479452,0.20034246575342465,0.10445205479452055,0.6375570776255708,0.057648401826484015,0.9821987480438185
L0_CORE,hybrid_a25,budget,1752,0.3047945205479452,0.2009132420091324,0.10388127853881278,0.6381278538812786,0.05707762557077625,0.9804496578690127
L2_CORE_CLINICAL,bm25,top3,1734,0.30103806228373703,0.20011534025374855,0.10092272202998846,0.6516724336793541,0.04728950403690888,0.9834678969627066
L0_CORE,hybrid_a50,top5,1752,0.3002283105022831,0.1980593607305936,0.1021689497716895,0.6352739726027398,0.06449771689497717,0.9794520547945206
L0_CORE,hybrid_a75,top3,1752,0.2985159817351598,0.1889269406392694,0.1095890410958904,0.6529680365296804,0.048515981735159815,0.9794520547945206
L3_FULL,semantic,top3,1752,0.2973744292237443,0.19577625570776255,0.10159817351598173,0.6421232876712328,0.06050228310502283,0.9807838660578386
L2_CORE_CLINICAL,semantic,top3,1752,0.2950913242009132,0.19748858447488585,0.0976027397260274,0.6472602739726028,0.057648401826484015,0.979261796042618
L2_CORE_CLINICAL,bm25,top5,1734,0.2946943483275663,0.19550173010380623,0.09919261822376009,0.6585928489042676,0.04671280276816609,0.9792387543252595
L3_FULL,semantic,top5,1752,0.2945205479452055,0.20376712328767124,0.09075342465753425,0.6461187214611872,0.0593607305936073,0.976027397260274
L1_CORE_LAY,semantic,top5,1752,0.29337899543379,0.2014840182648402,0.09189497716894977,0.6381278538812786,0.0684931506849315,0.97279299847793
L2_CORE_CLINICAL,bm25,budget,1734,0.29238754325259514,0.19319492502883506,0.09919261822376009,0.6660899653979239,0.04152249134948097,0.9846698113207547
L2_CORE_CLINICAL,semantic,top5,1752,0.2916666666666667,0.19748858447488585,0.09417808219178082,0.648972602739726,0.0593607305936073,0.9758371385083714
L3_FULL,bm25,budget,1752,0.2910958904109589,0.18493150684931506,0.10616438356164383,0.6529680365296804,0.05593607305936073,0.980773003727683
L3_FULL,bm25,top3,1752,0.2910958904109589,0.1832191780821918,0.10787671232876712,0.6518264840182648,0.05707762557077625,0.9800228310502284
L3_FULL,bm25,top5,1752,0.2893835616438356,0.19292237442922375,0.09646118721461187,0.651255707762557,0.0593607305936073,0.977359208523592
L0_CORE,hybrid_a75,budget,1752,0.2882420091324201,0.18493150684931506,0.10331050228310502,0.6643835616438356,0.04737442922374429,0.9832944832944832
L0_CORE,semantic,budget,1752,0.2876712328767123,0.192351598173516,0.09531963470319635,0.656392694063927,0.05593607305936073,0.9817085035999222
L0_CORE,hybrid_a75,top5,1752,0.2871004566210046,0.18949771689497716,0.0976027397260274,0.660958904109589,0.05194063926940639,0.9756468797564688
L0_CORE,bm25,top3,1730,0.28670520231213875,0.1907514450867052,0.09595375722543352,0.6664739884393064,0.04682080924855491,0.9851637764932563
L1_CORE_LAY,bm25,top5,1752,0.2865296803652968,0.19006849315068494,0.09646118721461187,0.6546803652968036,0.05878995433789954,0.9788812785388128
L0_CORE,bm25,top5,1730,0.2861271676300578,0.18728323699421964,0.09884393063583816,0.6630057803468208,0.05086705202312139,0.9784200385356455
L1_CORE_LAY,semantic,budget,1752,0.285958904109589,0.19463470319634704,0.091324200913242,0.6615296803652968,0.05251141552511415,0.9785700370153906
L2_CORE_CLINICAL,semantic,budget,1752,0.2831050228310502,0.1917808219178082,0.091324200913242,0.6626712328767124,0.05422374429223744,0.9791300955724594
L1_CORE_LAY,bm25,top3,1752,0.2802511415525114,0.1735159817351598,0.1067351598173516,0.6603881278538812,0.0593607305936073,0.980593607305936
L1_CORE_LAY,bm25,budget,1752,0.2762557077625571,0.1735159817351598,0.10273972602739725,0.66837899543379,0.055365296803652965,0.9781839622641509
L0_CORE,bm25,budget,1730,0.27572254335260116,0.17572254335260115,0.1,0.6838150289017341,0.04046242774566474,0.9832545311268716
L3_FULL,semantic,budget,1752,0.2756849315068493,0.1906392694063927,0.08504566210045662,0.6678082191780822,0.05650684931506849,0.9828359664521162
