config,retriever,prefix,mean_turn_overlap,near_dup_rate,distinct_regions,transcript_span
L0_CORE,bm25,top3,0.05263005780346821,0.0,1.9132947976878614,33.65086705202312
L0_CORE,bm25,top5,0.03513583815028902,0.0,2.490751445086705,49.870520231213874
L0_CORE,hybrid_a25,top3,0.04117199391171993,0.0,1.9172374429223744,30.064497716894977
L0_CORE,hybrid_a25,top5,0.026621004566210044,0.0,2.469178082191781,45.577625570776256
L0_CORE,hybrid_a50,top3,0.04757420091324201,0.0,1.8886986301369864,31.220319634703195
L0_CORE,hybrid_a50,top5,0.030088470319634707,0.0,2.453767123287671,46.56563926940639
L0_CORE,hybrid_a75,top3,0.050818112633181124,0.0,1.903538812785388,32.204337899543376
L0_CORE,hybrid_a75,top5,0.03235730593607306,0.0,2.4840182648401825,47.54908675799087
L0_CORE,semantic,top3,0.03679604261796043,0.0,1.9332191780821917,30.525114155251142
L0_CORE,semantic,top5,0.024363584474885847,0.0,2.511986301369863,46.08675799086758
L1_CORE_LAY,bm25,top3,0.05043759512937595,0.0,1.9006849315068493,30.888698630136986
L1_CORE_LAY,bm25,top5,0.03182077625570776,0.0,2.480593607305936,46.44349315068493
L1_CORE_LAY,semantic,top3,0.035540334855403345,0.0,1.9543378995433789,30.820205479452056
L1_CORE_LAY,semantic,top5,0.023975456621004566,0.0,2.5176940639269407,45.15525114155251
L2_CORE_CLINICAL,bm25,top3,0.05361399461745483,0.0,1.889850057670127,33.009227220299884
L2_CORE_CLINICAL,bm25,top5,0.03533737024221453,0.0,2.465974625144175,49.00576701268743
L2_CORE_CLINICAL,semantic,top3,0.037756849315068494,0.0,1.8841324200913243,28.11244292237443
L2_CORE_CLINICAL,semantic,top5,0.024900114155251143,0.0,2.4486301369863015,43.63812785388128
L3_FULL,bm25,top3,0.0523306697108067,0.0,1.8772831050228311,30.2425799086758
L3_FULL,bm25,top5,0.03205479452054795,0.0,2.468607305936073,46.45776255707762
L3_FULL,semantic,top3,0.0363679604261796,0.0,1.8972602739726028,28.98173515981735
L3_FULL,semantic,top5,0.02432933789954338,0.0,2.4554794520547945,43.801940639269404
