item_id,item_name,n,accuracy,macro_f1,qwk,mae,far_off_rate,within_one,f1_class3,severe_recall,false_severe_rate,run
1,NoInterest,219,0.5114155251141552,0.348667428136303,0.34554060324825986,0.5707762557077626,0.0821917808219178,0.9178082191780822,0.0,0.0,0.009523809523809525,L0_R0
2,Depressed,219,0.5068493150684932,0.3961836240682395,0.4241213653603034,0.7671232876712328,0.2191780821917808,0.7808219178082192,0.35,0.7777777777777778,0.23880597014925373,L0_R0
3,Sleep,219,0.45662100456621,0.4158173076923077,0.5001373713464505,0.684931506849315,0.1324200913242009,0.867579908675799,0.32,0.22857142857142856,0.03804347826086957,L0_R0
4,Tired,219,0.45662100456621,0.4072280542369662,0.44768551260324785,0.6438356164383562,0.091324200913242,0.908675799086758,0.35294117647058826,0.21428571428571427,0.0,L0_R0
5,Appetite,219,0.5159817351598174,0.30647564858091175,0.19042916824914558,0.730593607305936,0.1917808219178082,0.8082191780821918,0.0,0.0,0.005128205128205128,L0_R0
6,Failure,219,0.5114155251141552,0.4281994216776826,0.48707301343048837,0.6255707762557078,0.1141552511415525,0.8858447488584474,0.32432432432432434,0.25,0.035897435897435895,L0_R0
7,Concentrating,219,0.5388127853881278,0.3301948969023632,0.32403579316984765,0.6210045662100456,0.1324200913242009,0.867579908675799,0.0,0.0,0.005076142131979695,L0_R0
8,Moving,219,0.6073059360730594,0.2842267253774263,0.07860680619907345,0.4840182648401826,0.0639269406392694,0.9360730593607306,0.0,0.0,0.0047169811320754715,L0_R0
1,NoInterest,219,0.4703196347031963,0.3171834625322998,0.2990255352443276,0.6210045662100456,0.0821917808219178,0.9178082191780822,0.0,0.0,0.014285714285714285,L1_keep
2,Depressed,219,0.4748858447488584,0.38681844065886684,0.40716678509795956,0.8036529680365296,0.228310502283105,0.771689497716895,0.35443037974683544,0.7777777777777778,0.23383084577114427,L1_keep
3,Sleep,219,0.45662100456621,0.4402040522797821,0.5153164448750462,0.6986301369863014,0.1278538812785388,0.8721461187214612,0.4262295081967213,0.37142857142857144,0.07065217391304347,L1_keep
4,Tired,219,0.4429223744292237,0.38992673992673993,0.42474948924992706,0.6940639269406392,0.1278538812785388,0.8721461187214612,0.3111111111111111,0.25,0.05235602094240838,L1_keep
5,Appetite,219,0.4292237442922374,0.23342472582253243,0.18427977575225973,0.7990867579908676,0.1872146118721461,0.8127853881278538,0.0,0.0,0.005128205128205128,L1_keep
6,Failure,219,0.4748858447488584,0.4030978064675483,0.41485283401451056,0.7168949771689498,0.1643835616438356,0.8356164383561644,0.37209302325581395,0.3333333333333333,0.05641025641025641,L1_keep
7,Concentrating,219,0.4520547945205479,0.29833272320570947,0.342798458193846,0.6894977168949772,0.1141552511415525,0.8858447488584474,0.07692307692307693,0.045454545454545456,0.015228426395939087,L1_keep
8,Moving,219,0.6210045662100456,0.27505066085957114,0.1372402605762547,0.4703196347031963,0.0684931506849315,0.9315068493150684,0.0,0.0,0.0047169811320754715,L1_keep
1,NoInterest,219,0.4703196347031963,0.34245395127748074,0.25675833820947924,0.6529680365296804,0.1095890410958904,0.8904109589041096,0.13333333333333333,0.1111111111111111,0.023809523809523808,L2_filter
2,Depressed,219,0.4246575342465753,0.33514519188676495,0.3368177635149484,0.9178082191780822,0.2648401826484018,0.7351598173515982,0.3146067415730337,0.7777777777777778,0.2835820895522388,L2_filter
3,Sleep,219,0.3972602739726027,0.3880724701516516,0.477609634086278,0.7625570776255708,0.136986301369863,0.863013698630137,0.4,0.34285714285714286,0.07065217391304347,L2_filter
