n,accuracy,macro_f1,qwk,mae,far_off_rate,within_one,f1_class3,severe_recall,false_severe_rate,model
1752.0,0.4611872146118721,0.3606885990484222,0.3742593928882302,0.680365296803653,0.11929223744292237,0.8807077625570776,0.2184873949579832,0.15568862275449102,0.028391167192429023,E_FINAL
1752.0,0.4942922374429224,0.39903913207165137,0.39295215883662893,0.6649543378995434,0.13641552511415525,0.8635844748858448,0.2835820895522388,0.2275449101796407,0.03974763406940063,L_FINAL
1752.0,0.4960045662100457,0.3916671738588743,0.37721875542719285,0.6615296803652968,0.1341324200913242,0.8658675799086758,0.2570281124497992,0.19161676646706588,0.031545741324921134,cascade_encoder_first
1752.0,0.4965753424657534,0.38123212232605247,0.3789168124053649,0.6529680365296804,0.12899543378995434,0.8710045662100456,0.22026431718061673,0.1497005988023952,0.022082018927444796,cascade_llm_first
,,0.409,0.447,0.606,,,,,,frozen_MIL_merged_R0
